page,celebrity_name,celebrity_image
https://in.bookmyshow.com/person/,Salman Khan,in.bmscdn.com/webin/movies/superstar/profile_avatar.png
https://in.bookmyshow.com/person/,Shahrukh Khan,tps://in.bmscdn.com/webin/movies/superstar/rewards_login.png
https://in.bookmyshow.com/person/,Ranbir Kapoor,in.bmscdn.com/webin/movies/superstar/profile_avatar.png
https://in.bookmyshow.com/person/,Akshay Kumar,in.bmscdn.com/iedb/artist/images/website/poster/large/salman-khan-1991-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Hrithik Roshan,in.bmscdn.com/iedb/artist/images/website/poster/large/shah-rukh-khan-2092-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Aamir Khan,in.bmscdn.com/iedb/artist/images/website/poster/large/ranbir-kapoor-2817-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Shahid Kapoor,in.bmscdn.com/iedb/artist/images/website/poster/large/akshay-kumar-94-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Amitabh Bachchan,in.bmscdn.com/iedb/artist/images/website/poster/large/hrithik-roshan-833-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Arjun Kapoor,in.bmscdn.com/iedb/artist/images/website/poster/large/aamir-khan-42-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Ranveer Singh,in.bmscdn.com/iedb/artist/images/website/poster/large/shahid-kapoor-2094-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Sunny Leone,in.bmscdn.com/iedb/artist/images/website/poster/large/amitabh-bachchan-138-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Deepika Padukone,in.bmscdn.com/iedb/artist/images/website/poster/large/arjun-kapoor-23574-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Katrina Kaif,in.bmscdn.com/iedb/artist/images/website/poster/large/ranveer-singh-19858-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Alia Bhatt,in.bmscdn.com/iedb/artist/images/website/poster/large/sunny-leone-30564-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Kareena Kapoor,in.bmscdn.com/iedb/artist/images/website/poster/large/deepika-padukone-2822-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Priyanka Chopra,in.bmscdn.com/iedb/artist/images/website/poster/large/katrina-kaif-1171-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Aishwarya Rai,in.bmscdn.com/iedb/artist/images/website/poster/large/alia-bhatt-21065-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Anushka Sharma,in.bmscdn.com/iedb/artist/images/website/poster/large/kareena-kapoor-khan-1151-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Madhuri Dixit,in.bmscdn.com/iedb/artist/images/website/poster/large/priyanka-chopra-1739-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Shraddha Kapoor,in.bmscdn.com/iedb/artist/images/website/poster/large/aishwarya-rai-bachchan-37572-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Aditya Chopra,in.bmscdn.com/iedb/artist/images/website/poster/large/anushka-sharma-7978-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Karan Johar,in.bmscdn.com/iedb/artist/images/website/poster/large/madhuri-dixit-1318-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Farhan Akhtar,in.bmscdn.com/iedb/artist/images/website/poster/large/shraddha-kapoor-23323-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Mahesh Bhatt,in.bmscdn.com/iedb/artist/images/website/poster/large/aditya-chopra-70-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Anurag Kashyap,in.bmscdn.com/iedb/artist/images/website/poster/large/karan-johar-1147-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Rohit Shetty,in.bmscdn.com/iedb/artist/images/website/poster/large/farhan-akhtar-671-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Imtiaz Ali,in.bmscdn.com/iedb/artist/images/website/poster/large/mahesh-bhatt-1325-25-08-2016-04-07-16.jpg
https://in.bookmyshow.com/person/,Mani Ratnam,in.bmscdn.com/iedb/artist/images/website/poster/large/anurag-kashyap-215-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Sanjay Leela Bhansali,in.bmscdn.com/iedb/artist/images/website/poster/large/rohit-shetty-1926-05-09-2016-10-57-46.jpg
https://in.bookmyshow.com/person/,Yash Chopra,in.bmscdn.com/iedb/artist/images/website/poster/large/imtiaz-ali-850-25-08-2016-04-07-16.jpg
page,celebrity_name,celebrity_image
https://in.bookmyshow.com/person/,Salman Khan,in.bmscdn.com/webin/movies/superstar/profile_avatar.png
https://in.bookmyshow.com/person/,Shahrukh Khan,tps://in.bmscdn.com/webin/movies/superstar/rewards_login.png
